ModelName,Timestamp,ScanStatus,GpuMemoryGB,CpuMemoryGB,Error
Qwen3-8B-Q4_K_M,2025-05-07 19:17:07,Success,6.17,0.37,
Qwen3-30B-A3B,2025-05-07 19:17:10,Success,19.56,0.25,
Qwen3-32B-Think,2025-05-07 19:17:22,Success,20.82,0.45,
Qwen3-0.6B,2025-05-07 19:17:38,Success,1.59,0.15,
Qwen3-32B-UD-Q4,2025-05-07 19:17:39,Success,21.07,0.45,
Qwen3-4B-Q4-Bart,2025-05-07 19:17:55,Success,3.81,0.33,
Qwen3-32B-SpeculativeDecoding-40960,2025-05-07 19:17:59,Success,26.71,0.65,
Qwen3-8B-Q4_K_M-Bart,2025-05-07 19:18:13,Success,6.17,0.37,
GLM-4-32B-0414,2025-05-07 19:18:16,Success,18.87,0.52,
gemma-3-1b-it,2025-05-07 19:18:28,Success,1.65,0.63,
gemma-3-4b-it,2025-05-07 19:18:31,Success,4.57,1.32,
gemma-3-12b-it,2025-05-07 19:18:35,Success,9.61,1.91,
gemma-3-27b-it,2025-05-07 19:18:40,Success,18.61,2.67,
Mistral-Small-3.1-24B,2025-05-07 19:18:52,Success,14.27,0.38,
QwQ-32B-Q4_K_M.gguf,2025-05-07 19:19:02,Success,20.91,0.45,
gemma-3-27b-it-SpeculativeDecoding,2025-05-07 19:19:16,Success,20.64,3.25,
Qwen3-30B-A3B-UD,2025-05-07 19:19:30,Success,18.78,0.25,
Qwen3-32B-SpeculativeDecoding-16384,2025-05-07 19:19:43,Success,23.52,0.60,
Mistral-Small-3.1-24B-SpeculativeDecoding,2025-05-07 19:19:59,Success,15.30,0.51,
